// Converted from IBM/Eloquence SPR-style dictionary. Review before installing.
// Format: word<TAB>[[eSpeak phonemes]]
seaborgium	[[,si:'bO:rgi:@m]]	// Eloquence: .2si.1bcr.0gi.0xm
phyton	[['faI,tA:n]]	// Eloquence: .1fY.2tan
anisotropy	[[,anaI'sA:tr@pi:]]	// Eloquence: .2A.0nY.1sa.0trx.0pi
halidom	[['hal@t@m]]	// Eloquence: .1hA.0lX.0Fxm
flexuosity	[[,flEkSu:'A:s@ti:]]	// Eloquence: .2flEk.0Su.1a.0sX.0Fi
latices	[['leIt@si:z]]	// Eloquence: .1le.0FX.0siz
bifida	[['bIf@t@]]	// Eloquence: .1bI.0fX.0Fx
insectivore	[[@n'sEkt@,vO:r]]	// Eloquence: .0Xn.1sEk.0tX.2vcr
microwatt	[['maIkroU,wA:t]]	// Eloquence: .1mY.0kro.2wat
microwatts	[['maIkroU,wA:ts]]	// Eloquence: .1mY.0kro.2wats
symposiac	[[s@m'poUzi:,ak]]	// Eloquence: .0sXm.1po.0zi.2Ak
cryptorchidism	[[,krIp'tO:rk@,dIz@m]]	// Eloquence: .2krIp.1tcr.0kX.2dI.0zxm
laristan	[[,lar@'stan]]	// Eloquence: .2lAr.0X.1stAn
vetiver	[['vEt@v3:]]	// Eloquence: .1vE.0FX.0vR
superseder	[[,su:p3:'si:t3:]]	// Eloquence: .2su.0pR.1si.0FR
superseders	[[,su:p3:'si:t3:z]]	// Eloquence: .2su.0pR.1si.0FRz
balmacaan	[[,balm@'kan]]	// Eloquence: .2bAl.0mx.1kAn
velamen	[[v@'leIm@n]]	// Eloquence: .0vx.1le.0mXn
retrophile	[['rEtr@,faIl]]	// Eloquence: .1rE.0trx.2fYl
retrophiles	[['rEtr@,faIlz]]	// Eloquence: .1rE.0trx.2fYlz
oligoclase	[['A:l@goU,kleIs]]	// Eloquence: .1a.0lX.0go.2kles
kinetochore	[[k@'nEt@,kO:r]]	// Eloquence: .0kX.1nE.0Fx.2kcr
phonogram	[['foUn@,gram]]	// Eloquence: .1fo.0nx.2grAm
silviculture	[['sIlv@,kVltS3:]]	// Eloquence: .1sIl.0vX.2kHl.0CR
chachka	[['tSA:tSk@]]	// Eloquence: .1CaC.0kx
trachomatous	[[tr@'kA:m@t@s]]	// Eloquence: .0trx.1ka.0mx.0Fxs
ligroin	[['lI,groU@n]]	// Eloquence: .1lI.2gro.0Xn
ossining	[['A:s@nIN]]	// Eloquence: .1a.0sX.0nIG
lucretius	[[,lu:'kri:S@s]]	// Eloquence: .2lu.1kri.0Sxs
osteomata	[[,A:sti:'oUm@t@]]	// Eloquence: .2a.0sti.1o.0mx.0Fx
absentia	[[,ab'sEnS@]]	// Eloquence: .2Ab.1sEn.0Sx
cogeneration	[[,koU,dZEn@'reIS@n]]	// Eloquence: .2ko.2JE.0nx.1re.0SXn
bullace	[['bUl@s]]	// Eloquence: .1bU.0lXs
escapologist	[[@,skeI'pA:l@dZ@st]]	// Eloquence: .0X.2ske.1pal.0x.0JXst
dishabille	[[,dIs@'bi:l]]	// Eloquence: .2dI.0sx.1bil
feijoada	[[,feIZ@'wA:t@]]	// Eloquence: .2fe.0Zx.1wa.0Fx
boingy	[['bOINi:]]	// Eloquence: .1bO.0Gi
metestrous	[[m@'tEstr@s]]	// Eloquence: .0mX.1tE.0strxs
fusile	[['fju:z@l]]	// Eloquence: .1fyu.0zxl
bacteriogenic	[[,bak,ti:ri:@'dZEn@k]]	// Eloquence: .2bAk.2ti.0ri.0x.1JE.0nXk
idyl	[['aIt@l]]	// Eloquence: .1Y.0Fxl
pompano	[['pA:mp@noU]]	// Eloquence: .1pam.0px.0no
funiculi	[[fj@'nIkj@,laI]]	// Eloquence: .0fyX.1nI.0kyX.2lY
samaria	[[s@'meIri:@]]	// Eloquence: .0sx.1me.0ri.0x
recreative	[['rEkri:,eIt@v]]	// Eloquence: .1rE.0kri.2e.0FXv
electrophonic	[[@,lEktr@'fA:n@k]]	// Eloquence: .0x.2lEk.0trx.1fa.0nXk
desterilize	[[,di:'steIr@,laIz]]	// Eloquence: .2di.1ster.0X.2lYz
osculatory	[['A:skj@l@,tO:ri:]]	// Eloquence: .1as.0kyX.0lx.2tcr.0i
frugivore	[['fru:dZ@,vO:r]]	// Eloquence: .1fru.0JX.2vcr
eviternity	[[,Ev@'t3:n@ti:]]	// Eloquence: .2E.0vX.1tR.0nX.0Fi
automobilia	[[,O:t@m@'bIli:@]]	// Eloquence: .2c.0Fx.0mx.1bI.0li.0x
jnana	[[dZ@'nA:n@]]	// Eloquence: .0Jx.1na.0nx
hyaline	[['haI@l@n]]	// Eloquence: .1hY.0x.0lXn
pathophysiology	[[,paT@,fIzi:'A:l@dZi:]]	// Eloquence: .2pA.0Tx.2fI.0zi.1al.0x.0Ji
lucasfilm	[['lu:k@s,fIlm]]	// Eloquence: .1lu.0kxs.2fIlm
prodos	[['proU,dA:s]]	// Eloquence: .1pro.2das
dissepiment	[[d@'sEp@m@nt]]	// Eloquence: .0dX.1sE.0pX.0mXnt
uricotelism	[[,ju:r@,koU'tE,lIz@m]]	// Eloquence: .2yu.0rX.2ko.1tE.2lI.0zxm
hulu	[['hu:lu:]]	// Eloquence: .1hu.0lu
eskimoan	[[,Esk@'moU@n]]	// Eloquence: .2Es.0kX.1mo.0Xn
electrophone	[[@'lEktr@,foUn]]	// Eloquence: .0x.1lEk.0trx.2fon
electrophones	[[@'lEktr@,foUnz]]	// Eloquence: .0x.1lEk.0trx.2fonz
apropos	[[,apr@'poU]]	// Eloquence: .2Ap.0rx.1po
gertrudis	[[,g3:'tru:d@s]]	// Eloquence: .2gR.1tru.0dXs
swordplay	[['sO:rd,pleI]]	// Eloquence: .1scrd.2ple
antiochene	[[,an'taI@,ki:n]]	// Eloquence: .2An.1tY.0x.2kin
biofoul	[['baIoU,faUl]]	// Eloquence: .1bY.0o.2fWl
biofouling	[['baIoU,faUlIN]]	// Eloquence: .1bY.0o.2fWl.0IG
biofouler	[['baIoU,faUl3:]]	// Eloquence: .1bY.0o.2fWl.0R
biofoulers	[['baIoU,faUl3:z]]	// Eloquence: .1bY.0o.2fWl.0Rz
dicamba	[[,daI'kamb@]]	// Eloquence: .2dY.1kAm.0bx
